Name,Version,License,URL
Cartopy,0.25.0,BSD-3-Clause,https://github.com/SciTools/cartopy
GitPython,3.1.46,BSD-3-Clause,https://github.com/gitpython-developers/GitPython
ImageIO,2.37.3,BSD-2-Clause,https://github.com/imageio/imageio
Jinja2,3.1.6,BSD License,https://github.com/pallets/jinja/
Markdown,3.10.2,BSD-3-Clause,https://Python-Markdown.github.io/
MarkupSafe,3.0.3,BSD-3-Clause,https://github.com/pallets/markupsafe/
NATTEN,0.21.5,MIT,https://natten.org
PyYAML,6.0.3,MIT License,https://pyyaml.org/
Pygments,2.20.0,BSD-2-Clause,https://pygments.org
Werkzeug,3.1.8,BSD-3-Clause,https://github.com/pallets/werkzeug/
absl-py,2.4.0,Apache-2.0,https://github.com/abseil/abseil-py
aiobotocore,3.4.0,Apache-2.0,https://github.com/aio-libs/aiobotocore
aiohappyeyeballs,2.6.1,Python Software Foundation License,https://github.com/aio-libs/aiohappyeyeballs
aiohttp,3.13.5,Apache-2.0 AND MIT,https://github.com/aio-libs/aiohttp
aioitertools,0.13.0,MIT,https://aioitertools.omnilib.dev/en/latest/changelog.html
aiosignal,1.4.0,Apache Software License,https://github.com/aio-libs/aiosignal
altair,6.0.0,BSD License,https://github.com/vega/altair
annotated-doc,0.0.4,MIT,https://github.com/fastapi/annotated-doc
annotated-types,0.7.0,MIT License,https://github.com/annotated-types/annotated-types
antlr4-python3-runtime,4.9.3,BSD,http://www.antlr.org
anyio,4.13.0,MIT,https://anyio.readthedocs.io/en/stable/versionhistory.html
asttokens,3.0.1,Apache 2.0,https://github.com/gristlabs/asttokens
astunparse,1.6.3,BSD License,https://github.com/simonpercivall/astunparse
attrs,26.1.0,MIT,https://www.attrs.org/en/stable/changelog.html
bokeh,3.9.0,BSD-3-Clause,https://bokeh.org
botocore,1.42.84,Apache-2.0,https://github.com/boto/botocore
bracex,2.6,MIT,https://github.com/facelessuser/bracex
certifi,2026.2.25,Mozilla Public License 2.0 (MPL 2.0),https://github.com/certifi/python-certifi
cffi,2.0.0,MIT,https://cffi.readthedocs.io/en/latest/whatsnew.html
cftime,1.6.5,MIT,https://pypi.org/project/cftime/1.6.5/
charset-normalizer,3.4.7,MIT,https://github.com/jawah/charset_normalizer/blob/master/CHANGELOG.md
click,8.3.1,BSD-3-Clause,https://github.com/pallets/click/
cloudpickle,3.1.2,BSD License,https://github.com/cloudpipe/cloudpickle
contourpy,1.3.3,BSD License,https://github.com/contourpy/contourpy
cryptography,46.0.6,Apache-2.0 OR BSD-3-Clause,https://github.com/pyca/cryptography
cycler,0.12.1,BSD License,https://matplotlib.org/cycler/
dacite,1.9.2,MIT License,https://github.com/konradhalas/dacite
dask,2026.3.0,BSD-3-Clause,https://github.com/dask/dask/
decorator,5.2.1,BSD License,https://pypi.org/project/decorator/5.2.1/
distributed,2026.3.0,BSD-3-Clause,https://distributed.dask.org
dm-tree,0.1.9,Apache Software License,https://github.com/deepmind/tree
docutils,0.22.4,BSD License; GNU General Public License (GPL); Public Domain,https://docutils.sourceforge.io
donfig,0.8.1.post1,MIT License,https://github.com/pytroll/donfig
earth2grid,2025.11.1+torch211,Apache-2.0,https://github.com/NVlabs/earth2grid
earth2studio,0.13.0,Apache-2.0,https://github.com/NVIDIA/earth2studio
einops,0.8.2,MIT License,https://github.com/arogozhnikov/einops
executing,2.2.1,MIT License,https://github.com/alexmojaki/executing
filelock,3.25.2,MIT,https://github.com/tox-dev/py-filelock
fme,2026.1.1,Apache Software License,https://github.com/ai2cm/ace
fonttools,4.62.1,MIT,http://github.com/fonttools/fonttools
frozenlist,1.8.0,Apache-2.0,https://github.com/aio-libs/frozenlist
fsspec,2026.3.0,BSD-3-Clause,https://github.com/fsspec/filesystem_spec
gast,0.7.0,BSD License,https://github.com/serge-sans-paille/gast/
gcsfs,2026.3.0,BSD License,https://github.com/fsspec/gcsfs
gitdb,4.0.12,BSD License,https://github.com/gitpython-developers/gitdb
google-api-core,2.30.2,Apache Software License,https://github.com/googleapis/google-cloud-python/tree/main/packages/google-api-core
google-auth,2.49.1,Apache Software License,https://github.com/googleapis/google-auth-library-python
google-auth-oauthlib,1.3.1,Apache Software License,https://github.com/googleapis/google-cloud-python/tree/main/packages/google-auth-oauthlib
google-cloud-core,2.5.1,Apache Software License,https://github.com/googleapis/google-cloud-python/tree/main/packages/google-cloud-core
google-cloud-storage,3.10.1,Apache Software License,https://github.com/googleapis/python-storage
google-cloud-storage-control,1.11.0,Apache Software License,https://github.com/googleapis/google-cloud-python/tree/main/packages/google-cloud-storage-control
google-crc32c,1.8.0,Apache-2.0,https://github.com/googleapis/python-crc32c
google-resumable-media,2.8.2,Apache Software License,https://github.com/googleapis/google-resumable-media-python
googleapis-common-protos,1.74.0,Apache Software License,https://github.com/googleapis/google-cloud-python/tree/main/packages/googleapis-common-protos
grpc-google-iam-v1,0.14.4,Apache Software License,https://github.com/googleapis/google-cloud-python
grpcio,1.80.0,Apache-2.0,https://grpc.io
grpcio-status,1.80.0,Apache-2.0,https://grpc.io
h11,0.16.0,MIT License,https://github.com/python-hyper/h11
h5netcdf,1.8.1,BSD License,https://h5netcdf.org
h5py,3.16.0,BSD-3-Clause,https://www.h5py.org/
hf-xet,1.4.3,Apache-2.0,https://github.com/huggingface/xet-core
httpcore,1.0.9,BSD-3-Clause,https://www.encode.io/httpcore/
httpx,0.28.1,BSD License,https://github.com/encode/httpx
huggingface_hub,1.9.1,Apache Software License,https://github.com/huggingface/huggingface_hub
idna,3.11,BSD-3-Clause,https://github.com/kjd/idna
imageio-ffmpeg,0.6.0,BSD License,https://github.com/imageio/imageio-ffmpeg
importlib_metadata,8.7.1,Apache-2.0,https://github.com/python/importlib_metadata
iniconfig,2.3.0,MIT,https://github.com/pytest-dev/iniconfig
ipython,9.12.0,BSD-3-Clause,https://ipython.org
ipython_pygments_lexers,1.1.1,BSD License,https://github.com/ipython/ipython-pygments-lexers
itsdangerous,2.2.0,BSD License,https://github.com/pallets/itsdangerous/
jedi,0.19.2,MIT License,https://github.com/davidhalter/jedi
jmespath,1.1.0,MIT License,https://github.com/jmespath/jmespath.py
joblib,1.5.3,BSD-3-Clause,https://joblib.readthedocs.io
jsonschema,4.26.0,MIT,https://github.com/python-jsonschema/jsonschema
jsonschema-specifications,2025.9.1,MIT,https://github.com/python-jsonschema/jsonschema-specifications
kiwisolver,1.5.0,BSD License,https://github.com/nucleic/kiwi
lark,1.3.1,MIT License,https://github.com/lark-parser/lark
lightning,2.6.1,Apache Software License,https://github.com/Lightning-AI/lightning
lightning-utilities,0.15.3,Apache-2.0,https://github.com/Lightning-AI/utilities
llvmlite,0.47.0,BSD-2-Clause AND Apache-2.0 WITH LLVM-exception,http://llvmlite.readthedocs.io
lmdb,2.2.0,OLDAP-2.8,http://github.com/jnwatson/py-lmdb/
locket,1.0.0,BSD License,http://github.com/mwilliamson/locket.py
loguru,0.7.3,MIT License,https://github.com/Delgan/loguru
loro,1.10.3,MIT,https://loro.dev
lz4,4.4.5,BSD License,https://github.com/python-lz4/python-lz4
makefun,1.16.0,BSD License,https://github.com/smarie/python-makefun
marimo,0.22.0,Apache Software License,https://github.com/marimo-team/marimo
markdown-it-py,4.0.0,MIT License,https://github.com/executablebooks/markdown-it-py
matplotlib,3.10.8,Python Software Foundation License,https://matplotlib.org
matplotlib-inline,0.2.1,BSD-3-Clause,https://github.com/ipython/matplotlib-inline
mdurl,0.1.2,MIT License,https://github.com/executablebooks/mdurl
ml_dtypes,0.5.4,Apache-2.0,https://github.com/jax-ml/ml_dtypes
moviepy,2.2.1,MIT License,https://pypi.org/project/moviepy/2.2.1/
